mundial,fecha,local,visitante,pred,prob,real,marcador,acierto
2010,2010-06-21,Spain,Honduras,1,0.734,1,2-0,1
2010,2010-06-21,Portugal,North Korea,1,0.655,1,7-0,1
2010,2010-06-21,Chile,Switzerland,1,0.462,1,1-0,1
2010,2010-06-22,Greece,Argentina,2,0.659,2,0-2,1
2010,2010-06-22,Mexico,Uruguay,1,0.451,2,0-1,0
2010,2010-06-22,Nigeria,South Korea,2,0.462,X,2-2,0
2010,2010-06-22,South Africa,France,2,0.487,1,2-1,0
2010,2010-06-23,Australia,Serbia,2,0.388,1,2-1,0
2010,2010-06-23,Ghana,Germany,2,0.6,2,0-1,1
2010,2010-06-23,Slovenia,England,2,0.676,2,0-1,1
2010,2010-06-23,United States,Algeria,1,0.641,1,1-0,1
