team,player,position,age,career_goals,goals_2024_26,goals_wc2026,pen_goals,first_year,last_year,fatigue
New Zealand,Sarpreet Singh,Midfield,27,2,2,0,0,2024,2025,baja
New Zealand,Callum McCowatt,Midfield,27,2,2,0,0,2024,2024,baja
Switzerland,Nico Elvedi,Defence,29,2,1,0,0,2018,2025,baja
Switzerland,Christian Fassnacht,Midfield,32,2,0,0,0,2019,2021,baja
Switzerland,Noah Okafor,Offence,26,2,0,0,0,2021,2022,baja
Ecuador,Pervis Estupiñán,Defence,28,2,0,0,0,2020,2021,baja
Ecuador,Alan Minda,Midfield,23,2,2,0,0,2024,2024,baja
Ecuador,Kevin Rodríguez,Offence,26,2,1,0,0,2023,2024,baja
Sweden,Mattias Svanberg,Midfield,27,2,1,1,0,2019,2026,baja
Czechia,David Douděra,Midfield,28,2,1,0,0,2023,2025,baja
Czechia,Lukáš Provod,Midfield,29,2,1,0,0,2021,2024,baja
Czechia,Lukáš Červ,Midfield,25,2,2,0,0,2024,2025,baja
Croatia,Kristijan Jakić,Midfield,29,2,2,0,0,2025,2025,baja
Croatia,Martin Baturina,Midfield,23,2,2,1,0,2024,2026,baja
Croatia,Petar Musa,Offence,28,2,2,1,0,2025,2026,baja
Saudi Arabia,Hassan Kadesh,Defence,33,2,2,0,0,2024,2024,media
Tunisia,Dylan Bronn,Defence,31,2,0,0,0,2018,2021,baja
Tunisia,Ismaël Gharbi,Midfield,22,2,2,0,1,2025,2025,baja
Tunisia,Firas Chaouat,Offence,30,2,2,0,0,2025,2026,baja
Turkey,Abdülkerim Bardakcı,Defence,31,2,1,0,0,2023,2025,baja
Senegal,Kalidou Koulibaly,Defence,35,2,1,0,0,2022,2025,media
Senegal,Abdoulaye Seck,Defence,34,2,2,0,0,2024,2025,baja
Senegal,Pape Thiaw,Coach,45,2,0,0,0,2001,2001,alta
Belgium,Timothy Castagne,Defence,30,2,0,0,0,2019,2019,baja
Belgium,Dodi Lukebakio,Midfield,28,2,0,0,0,2023,2023,baja
Belgium,Alexis Saelemaekers,Midfield,26,2,1,0,0,2021,2025,baja
Morocco,Nayef Aguerd,Defence,30,2,1,0,0,2021,2025,baja
Morocco,Soufiane Rahimi,Offence,30,2,2,1,0,2024,2026,baja
Austria,Alessandro Schöpf,Midfield,32,2,0,0,0,2016,2020,baja
Austria,Xaver Schlager,Midfield,28,2,0,0,0,2018,2022,baja
Colombia,Davinson Sánchez,Defence,30,2,2,0,0,2024,2024,baja
Haiti,Ricardo Adé,Defence,36,2,0,0,0,2021,2021,alta
Haiti,Louicius Don Deedson,Offence,25,2,2,0,0,2024,2025,baja
Haiti,Ruben Providence,Offence,24,2,2,0,0,2025,2025,baja
Iran,Shojae Khalilzadeh,Defence,37,2,1,0,0,2021,2024,media
