league,season,team,player,nation,pos,age,Club,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK
INT-World Cup,2026,Côte d'Ivoire,Evann Guessand,Côte d'Ivoire,"FW,MF",24-361,1. Crystal Palace,2001,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Franck Kessié,Côte d'Ivoire,MF,29-190,1. Al-Ahli,1996,3,3,256,2.8,1,0,1,1,0,0,1,0,0.35,0.0,0.35,0.35,0.35
INT-World Cup,2026,Côte d'Ivoire,Ghislain Konan,Côte d'Ivoire,DF,30-182,1. Gil Vicente FC,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Guéla Doué,Côte d'Ivoire,DF,23-253,1. Strasbourg,2002,3,2,187,2.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Ibrahim Sangaré,Côte d'Ivoire,MF,28-207,1. Nottingham,1997,3,2,178,2.0,0,1,1,0,0,0,0,0,0.0,0.51,0.51,0.0,0.51
INT-World Cup,2026,Côte d'Ivoire,Jean Seri,Côte d'Ivoire,MF,34-343,1. NK Maribor,1991,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Nicolas Pépé,Côte d'Ivoire,FW,31-029,1. Villarreal,1995,3,2,148,1.6,2,0,2,2,0,0,1,0,1.22,0.0,1.22,1.22,1.22
INT-World Cup,2026,Côte d'Ivoire,Odilon Kossounou,Côte d'Ivoire,DF,25-174,1. Atalanta,2001,3,2,182,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Oumar Diakité,Côte d'Ivoire,FW,22-189,1. Cercle Brugge,2003,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Ousmane Diomande,Côte d'Ivoire,DF,22-205,1. Sporting CP,2003,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Seko Fofana,Côte d'Ivoire,MF,31-051,1. Porto,1995,2,1,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Simon Adingra,Côte d'Ivoire,"FW,MF",24-177,1. Monaco,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Wilfried Singo,Côte d'Ivoire,DF,25-184,1. Galatasaray,2000,2,2,171,1.9,0,1,1,0,0,0,0,0,0.0,0.53,0.53,0.0,0.53
INT-World Cup,2026,Côte d'Ivoire,Yahia Fofana,Côte d'Ivoire,GK,25-310,1. Rizespor,2000,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Côte d'Ivoire,Yan Diomandé,Côte d'Ivoire,"MF,FW",19-225,1. RB Leipzig,2006,3,3,240,2.7,0,1,1,0,0,0,0,0,0.0,0.37,0.37,0.0,0.37
INT-World Cup,2026,Ecuador,Alan Franco,Ecuador,DF,27-310,1. Atlético Mineiro,1998,3,3,206,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Alan Minda,Ecuador,MF,23-044,1. Atlético Mineiro,2003,1,1,55,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Enner Valencia,Ecuador,FW,36-235,1. Pachuca,1989,3,3,229,2.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Félix Torres Caicedo,Ecuador,DF,29-167,1. Internacional,1997,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Gonzalo Plata,Ecuador,FW,25-238,1. Flamengo,2000,3,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.0,0.33,0.33,0.33
INT-World Cup,2026,Ecuador,Hernán Galíndez,Ecuador,GK,39-089,1. Huracán,1987,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Jackson Porozo,Ecuador,DF,25-327,1. Tijuana,2000,1,0,29,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Joel Ordóñez,Ecuador,DF,22-067,1. Club Brugge,2004,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,John Yeboah,Ecuador,MF,26-004,2. Venezia,2000,3,3,233,2.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Jordy Alcivar,Ecuador,MF,26-326,1. Independiente,1999,1,1,45,0.5,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Jordy Caicedo,Ecuador,FW,28-221,1. Huracán,1997,2,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Kevin Rodríguez,Ecuador,FW,26-115,1. Union SG,2000,3,0,86,1.0,0,1,1,0,0,0,0,0,0.0,1.05,1.05,0.0,1.05
INT-World Cup,2026,Ecuador,Moisés Caicedo,Ecuador,MF,24-237,1. Chelsea,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Nilson Angulo,Ecuador,MF,23-008,1. Sunderland,2003,3,1,140,1.6,1,0,1,1,0,0,0,0,0.64,0.0,0.64,0.64,0.64
INT-World Cup,2026,Ecuador,Pedro Vite,Ecuador,MF,24-110,1. UNAM,2002,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.33,0.33,0.0,0.33
INT-World Cup,2026,Ecuador,Pervis Estupiñán,Ecuador,MF,28-157,1. Milan,1998,2,1,89,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Piero Hincapié,Ecuador,DF,24-169,1. Arsenal,2002,3,3,250,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Willian Pacho,Ecuador,DF,24-254,1. PSG,2001,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ecuador,Ángelo Preciado,Ecuador,"DF,MF",28-129,1. Atlético Mineiro,1998,3,0,64,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Ahmed Fatouh,Egypt,DF,28-097,1. Zamalek SC,1998,2,2,177,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Emam Ashour,Egypt,MF,28-127,1. Al Ahly,1998,2,2,152,1.7,1,0,1,1,0,0,0,0,0.59,0.0,0.59,0.59,0.59
INT-World Cup,2026,Egypt,Hamdy Fathy,Egypt,DF,31-271,1. Al-Wakrah,1994,2,2,127,1.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Hamza Abdelkarim,Egypt,FW,18-177,4. Barcelona B,2008,2,0,30,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Hossam Abdelmaguid,Egypt,DF,25-058,1. Zamalek SC,2001,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Ibrahim Adel,Egypt,MF,25-065,1. Nordsjælland,2001,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Karim Hafez,Egypt,DF,30-107,1. Pyramids FC,1996,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Marwan Attia,Egypt,MF,27-319,1. Al Ahly,1998,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Mohamed Abdelmonem,Egypt,DF,27-146,1. Nice,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Mohamed Hany,Egypt,DF,30-153,1. Al Ahly,1996,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5
INT-World Cup,2026,Egypt,Mohamed Salah,Egypt,"MF,FW",34-012,1. Liverpool,1992,2,2,159,1.8,1,2,3,1,0,0,0,0,0.57,1.13,1.7,0.57,1.7
INT-World Cup,2026,Egypt,Mohanad Lasheen,Egypt,MF,30-029,,1996,2,2,180,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Mostafa Shobeir,Egypt,GK,26-043,1. Al Ahly,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Mostafa Ziko,Egypt,MF,29-061,1. Pyramids FC,1997,2,2,150,1.7,1,1,2,1,0,0,0,0,0.6,0.6,1.2,0.6,1.2
INT-World Cup,2026,Egypt,Omar Marmoush,Egypt,FW,27-140,1. Manchester City,1999,2,2,165,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Ramy Rabia,Egypt,"DF,MF",33-038,1. Al Ain,1993,2,0,72,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Trézéguet,Egypt,"FW,MF",31-269,1. Al Ahly,1994,1,0,15,0.2,1,0,1,1,0,0,0,0,6.0,0.0,6.0,6.0,6.0
INT-World Cup,2026,Egypt,Yasser Ibrahim,Egypt,DF,33-137,1. Al Ahly,1993,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Egypt,Zizo,Egypt,MF,30-168,1. Al Ahly,1996,2,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Anthony Gordon,England,MF,25-123,1. Barcelona,2001,2,2,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Bukayo Saka,England,"FW,MF",24-295,1. Arsenal,2001,2,0,45,0.5,0,1,1,0,0,0,0,0,0.0,2.0,2.0,0.0,2.0
INT-World Cup,2026,England,Declan Rice,England,MF,27-164,1. Arsenal,1999,2,2,161,1.8,0,1,1,0,0,0,1,0,0.0,0.56,0.56,0.0,0.56
INT-World Cup,2026,England,Djed Spence,England,DF,25-322,1. Tottenham,2000,2,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Eberechi Eze,England,"FW,MF",27-363,1. Arsenal,1998,1,0,17,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Elliot Anderson,England,MF,23-233,1. Nottingham,2002,2,2,163,1.8,0,1,1,0,0,0,0,0,0.0,0.55,0.55,0.0,0.55
INT-World Cup,2026,England,Ezri Konsa,England,DF,28-247,1. Aston Villa,1997,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Harry Kane,England,FW,32-334,1. Bayern Munich,1993,2,2,180,2.0,2,0,2,1,1,1,0,0,1.0,0.0,1.0,0.5,0.5
INT-World Cup,2026,England,John Stones,England,DF,32-030,1. Manchester City,1994,1,1,86,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Jordan Pickford,England,GK,32-112,1. Everton,1994,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Jude Bellingham,England,MF,22-363,1. Real Madrid,2003,2,2,152,1.7,1,0,1,1,0,0,0,0,0.59,0.0,0.59,0.59,0.59
INT-World Cup,2026,England,Marc Guéhi,England,DF,25-349,1. Manchester City,2000,2,1,94,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Marcus Rashford,England,"FW,MF",28-239,1. Barcelona,1997,2,0,27,0.3,1,0,1,1,0,0,0,0,3.33,0.0,3.33,3.33,3.33
INT-World Cup,2026,England,Morgan Rogers,England,"FW,MF",23-336,1. Aston Villa,2002,2,0,36,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Nico O'Reilly,England,DF,21-098,1. Manchester City,2005,2,1,115,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Noni Madueke,England,MF,24-109,1. Arsenal,2002,2,2,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,England,Reece James,England,DF,26-201,1. Chelsea,1999,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Adrien Rabiot,France,MF,31-085,1. Milan,1995,2,2,180,2.0,0,1,1,0,0,0,0,0,0.0,0.5,0.5,0.0,0.5
INT-World Cup,2026,France,Aurélien Tchouaméni,France,MF,26-151,1. Real Madrid,2000,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Bradley Barcola,France,MF,23-298,1. PSG,2002,2,1,93,1.0,1,0,1,1,0,0,0,0,0.97,0.0,0.97,0.97,0.97
INT-World Cup,2026,France,Dayot Upamecano,France,DF,27-243,1. Bayern Munich,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Désiré Doué,France,MF,21-024,1. PSG,2005,2,1,109,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Jules Koundé,France,DF,27-227,1. Barcelona,1998,2,2,172,1.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Kylian Mbappé,France,FW,27-189,1. Real Madrid,1998,2,2,179,2.0,4,0,4,4,0,0,0,0,2.01,0.0,2.01,2.01,2.01
INT-World Cup,2026,France,Lucas Digne,France,DF,32-342,1. Aston Villa,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Maghnes Akliouche,France,MF,24-122,1. Monaco,2002,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Malo Gusto,France,"DF,MF",23-039,1. Chelsea,2003,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Manu Koné,France,MF,25-041,1. Roma,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Marcus Thuram,France,"FW,MF",28-325,1. Inter,1997,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Michael Olise,France,MF,24-197,1. Bayern Munich,2001,2,2,157,1.7,0,3,3,0,0,0,0,0,0.0,1.72,1.72,0.0,1.72
INT-World Cup,2026,France,Mike Maignan,France,GK,30-359,1. Milan,1995,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Ousmane Dembélé,France,MF,29-043,1. PSG,1997,2,2,146,1.6,1,1,2,1,0,0,0,0,0.62,0.62,1.23,0.62,1.23
INT-World Cup,2026,France,Rayan Cherki,France,"FW,MF",22-314,1. Manchester City,2003,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,Theo Hernández,France,DF,28-264,1. Al-Hilal,1997,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,France,William Saliba,France,DF,25-095,1. Arsenal,2001,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Aleksandar Pavlovic,Germany,MF,22-055,1. Bayern Munich,2004,3,3,194,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Angelo Stiller,Germany,MF,25-084,1. Stuttgart,2001,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Antonio Rüdiger,Germany,DF,33-116,1. Real Madrid,1993,3,1,153,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,David Raum,Germany,DF,28-066,1. RB Leipzig,1998,2,1,108,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Deniz Undav,Germany,"FW,MF",29-343,1. Stuttgart,1996,3,0,89,1.0,3,2,5,3,0,0,0,0,3.03,2.02,5.06,3.03,5.06
INT-World Cup,2026,Germany,Felix Nmecha,Germany,MF,25-260,1. Dortmund,2000,3,3,225,2.5,1,1,2,1,0,0,0,0,0.4,0.4,0.8,0.4,0.8
INT-World Cup,2026,Germany,Florian Wirtz,Germany,MF,23-055,1. Liverpool,2003,3,3,252,2.8,0,2,2,0,0,0,0,0,0.0,0.71,0.71,0.0,0.71
INT-World Cup,2026,Germany,Jamal Musiala,Germany,MF,23-121,1. Bayern Munich,2003,3,3,212,2.4,1,0,1,1,0,0,0,0,0.42,0.0,0.42,0.42,0.42
INT-World Cup,2026,Germany,Jamie Leweling,Germany,"FW,MF",25-121,1. Stuttgart,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Jonathan Tah,Germany,DF,30-136,1. Bayern Munich,1996,3,3,252,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Joshua Kimmich,Germany,DF,31-139,1. Bayern Munich,1995,3,3,231,2.6,0,2,2,0,0,0,0,0,0.0,0.78,0.78,0.0,0.78
INT-World Cup,2026,Germany,Kai Havertz,Germany,FW,27-016,1. Arsenal,1999,3,3,233,2.6,2,0,2,1,1,1,0,0,0.77,0.0,0.77,0.39,0.39
INT-World Cup,2026,Germany,Leon Goretzka,Germany,MF,31-141,1. Bayern Munich,1995,2,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Leroy Sané,Germany,MF,30-167,1. Galatasaray,1996,3,3,239,2.7,1,0,1,1,0,0,0,0,0.38,0.0,0.38,0.38,0.38
INT-World Cup,2026,Germany,Malick Thiaw,Germany,"DF,MF",24-323,1. Newcastle,2001,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Manuel Neuer,Germany,GK,40-092,1. Bayern Munich,1986,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Maximilian Beier,Germany,"FW,MF",23-253,1. Dortmund,2002,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Nadiem Amiri,Germany,MF,29-243,1. Mainz 05,1996,1,0,31,0.3,0,1,1,0,0,0,0,0,0.0,2.9,2.9,0.0,2.9
INT-World Cup,2026,Germany,Nathaniel Brown,Germany,DF,23-011,1. Frankfurt,2003,2,2,162,1.8,1,1,2,1,0,0,0,0,0.56,0.56,1.11,0.56,1.11
INT-World Cup,2026,Germany,Nico Schlotterbeck,Germany,DF,26-208,1. Dortmund,1999,2,2,135,1.5,1,0,1,1,0,0,0,0,0.67,0.0,0.67,0.67,0.67
INT-World Cup,2026,Germany,Pascal Groß,Germany,"DF,MF",35-012,1. Brighton,1991,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Germany,Waldemar Anton,Germany,"DF,MF",29-342,1. Dortmund,1996,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Abdul Fatawu Issahaku,Ghana,"FW,MF",22-111,2. Leicester City,2004,2,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Abdul Rahman Baba,Ghana,"DF,MF",31-360,1. PAOK,1994,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Antoine Semenyo,Ghana,MF,26-171,1. Manchester City,2000,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Benjamin Asare,Ghana,GK,33-349,1. Accra Hearts of Oak SC,1992,2,1,135,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Brandon Thomas-Asante,Ghana,"FW,MF",27-180,2. Coventry City,1998,1,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Caleb Yirenkyi,Ghana,MF,20-163,1. Nordsjælland,2006,2,2,180,2.0,1,0,1,1,0,0,1,0,0.5,0.0,0.5,0.5,0.5
INT-World Cup,2026,Ghana,Elisha Owusu,Ghana,MF,28-232,1. Auxerre,1997,1,1,77,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Ernest Nuamah,Ghana,MF,22-238,1. Lyon,2003,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Gideon Mensah,Ghana,DF,27-344,1. Auxerre,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Iñaki Williams,Ghana,MF,32-012,1. Athletic Club,1994,1,1,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Jerome Opoku,Ghana,DF,27-256,1. Başakşehir,1998,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Jonas Adjetey,Ghana,DF,22-196,1. Wolfsburg,2003,2,2,180,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Jordan Ayew,Ghana,FW,34-289,2. Leicester City,1991,2,2,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Kamaldeen Sulemana,Ghana,MF,24-132,1. Atlanta Utd,2002,1,1,57,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Kojo Peprah Oppong,Ghana,DF,22-023,1. Nice,2004,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Kwasi Sibo,Ghana,MF,28-003,1. Oviedo,1998,2,1,103,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Lawrence Ati-Zigi,Ghana,GK,29-210,1. St. Gallen,1996,1,1,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Marvin Senaya,Ghana,DF,25-150,1. Auxerre,2001,2,2,176,2.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Prince Kwabena Adu,Ghana,FW,22-277,1. Viktoria Plzeň,2003,2,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Ghana,Thomas Partey,Ghana,MF,33-014,1. Villarreal,1993,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Carlens Arcus,Haiti,"MF,DF",29-364,1. Angers,1996,3,2,146,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Danley Jean-Jacques,Haiti,MF,26-038,1. Philadelphia,2000,3,3,259,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Derrick Etienne,Haiti,"FW,MF",29-214,1. Toronto FC,1996,1,0,10,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Dominique Simon,Haiti,MF,25-333,1. 1. FC Tatran Prešov B,2000,2,0,56,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Duckens Nazon,Haiti,"FW,MF",32-081,1. Esteghlal,1994,1,0,24,0.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Frantzdy Pierrot,Haiti,FW,31-090,1. Rizespor,1995,3,2,143,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Hannes Delcroix,Haiti,DF,27-119,1. Lugano,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Jean-Kevin Duverne,Haiti,DF,28-350,1. Gent,1997,2,2,169,1.9,0,1,1,0,0,0,0,0,0.0,0.53,0.53,0.0,0.53
INT-World Cup,2026,Haiti,Jean-Ricner Bellegarde,Haiti,MF,28-000,1. Wolves,1998,3,3,260,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Johny Placide,Haiti,GK,38-149,2. Bastia,1988,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Josué Casimir,Haiti,MF,24-276,1. Auxerre,2001,3,2,182,2.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Lenny Joseph,Haiti,FW,25-258,1. Ferencváros,2000,3,1,117,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Louicius Deedson,Haiti,MF,25-136,1. FC Dallas,2001,3,1,112,1.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
INT-World Cup,2026,Haiti,Martin Expérience,Haiti,"DF,MF",27-110,2. Nancy,1999,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
