gameId,date,team,foulsCommitted,yellowCards,redCards,offsides,wonCorners,saves,possessionPct,totalShots,shotsOnTarget,shotPct,penaltyKickGoals,penaltyKickShots,accuratePasses,totalPasses,passPct,accurateCrosses,totalCrosses,crossPct,totalLongBalls,accurateLongBalls,longballPct,blockedShots,effectiveTackles,totalTackles,tacklePct,interceptions,effectiveClearance,totalClearance
760473,2026-06-25,Curaçao,11,2,0,2,4,1,36.7,11,2,0.2,0,0,295,355,0.8,5,15,0.3,30,14,0.5,2,11,17,0.6,15,17,17
760473,2026-06-25,Ivory Coast,6,1,0,1,6,2,63.3,7,3,0.4,0,0,558,624,0.9,3,16,0.2,38,20,0.5,1,9,16,0.6,12,19,19
760468,2026-06-25,Ecuador,15,3,0,1,3,2,38.9,7,3,0.4,0,0,312,378,0.8,3,13,0.2,50,24,0.5,2,16,26,0.6,12,30,30
760468,2026-06-25,Germany,10,1,0,0,2,1,61.1,11,3,0.3,0,0,517,592,0.9,5,16,0.3,37,17,0.5,5,13,20,0.7,4,15,15
760471,2026-06-25,Japan,20,1,0,3,2,4,52.3,8,3,0.4,0,0,378,445,0.8,4,13,0.3,49,18,0.4,2,7,13,0.5,4,40,40
760471,2026-06-25,Sweden,11,2,0,2,8,2,47.7,11,5,0.5,0,0,312,395,0.8,4,16,0.3,50,18,0.4,3,3,7,0.4,5,21,21
760472,2026-06-25,Tunisia,11,0,0,2,4,4,28.6,10,4,0.4,0,0,199,258,0.8,4,13,0.3,47,20,0.4,1,9,17,0.5,8,35,35
760472,2026-06-25,Netherlands,10,0,0,1,6,3,71.4,20,7,0.4,0,0,602,647,0.9,6,27,0.2,22,15,0.7,5,5,8,0.6,10,17,17
760469,2026-06-26,Paraguay,9,1,0,0,1,5,44,7,2,0.3,0,0,330,426,0.8,0,7,0.0,59,14,0.2,1,17,24,0.7,8,24,24
760469,2026-06-26,Australia,6,1,0,0,3,2,56,12,5,0.4,0,0,438,537,0.8,4,13,0.3,58,17,0.3,3,12,20,0.6,7,10,10
760470,2026-06-26,Turkey,13,0,0,2,2,5,47.4,9,3,0.3,0,0,335,434,0.8,0,12,0.0,66,24,0.4,2,20,32,0.6,9,24,24
760470,2026-06-26,United States,13,1,0,5,9,1,52.6,18,7,0.4,0,0,398,471,0.8,5,19,0.3,42,16,0.4,5,9,14,0.6,9,27,27
760475,2026-06-26,Norway,9,1,0,1,4,5,43.3,10,4,0.4,0,1,343,421,0.8,3,9,0.3,40,18,0.5,3,11,17,0.6,13,16,16
760475,2026-06-26,France,11,1,0,2,5,3,56.7,18,9,0.5,0,0,480,555,0.9,3,10,0.3,53,28,0.5,3,12,17,0.7,11,19,19
760474,2026-06-26,Senegal,10,2,0,1,12,1,69.2,28,12,0.4,0,0,517,590,0.9,7,25,0.3,43,23,0.5,5,9,12,0.8,2,10,10
760474,2026-06-26,Iraq,11,2,1,0,3,7,30.8,6,1,0.2,0,0,184,266,0.7,0,6,0.0,68,13,0.2,4,13,20,0.7,7,34,34
760478,2026-06-27,Cape Verde,10,1,0,2,4,3,51,15,2,0.1,0,0,381,451,0.8,2,18,0.1,55,29,0.5,5,12,15,0.8,13,29,29
760478,2026-06-27,Saudi Arabia,16,3,0,0,2,2,49,7,3,0.4,0,0,359,444,0.8,3,11,0.3,50,21,0.4,3,15,29,0.5,11,25,25
760479,2026-06-27,Uruguay,14,3,1,5,1,0,33.1,5,1,0.2,0,0,228,301,0.8,1,16,0.1,43,15,0.3,1,15,25,0.6,14,14,14
760479,2026-06-27,Spain,14,1,0,2,6,2,66.9,6,1,0.2,0,0,553,622,0.9,3,12,0.3,34,18,0.5,1,10,17,0.6,9,23,23
760476,2026-06-27,Egypt,11,3,0,0,8,2,61.4,15,3,0.2,0,0,513,589,0.9,4,15,0.3,44,18,0.4,6,10,17,0.6,7,38,38
760476,2026-06-27,Iran,16,4,0,3,2,2,38.6,13,4,0.3,0,1,281,367,0.8,1,10,0.1,66,29,0.4,3,17,22,0.8,8,32,32
760477,2026-06-27,New Zealand,10,2,0,1,5,5,45.5,6,2,0.3,0,0,369,436,0.8,2,17,0.1,38,16,0.4,1,6,10,0.6,6,35,35
760477,2026-06-27,Belgium,7,0,0,1,8,1,54.5,35,10,0.3,0,0,462,525,0.9,6,16,0.4,46,28,0.6,12,8,13,0.6,10,27,27
760480,2026-06-27,Croatia,9,1,0,1,3,0,53.3,8,4,0.5,0,0,477,523,0.9,3,15,0.2,38,16,0.4,2,8,14,0.6,4,23,23
760480,2026-06-27,Ghana,13,1,0,2,2,2,46.7,6,1,0.2,0,0,402,455,0.9,3,12,0.3,39,18,0.5,2,7,13,0.5,9,11,11
760485,2026-06-27,Panama,16,2,0,4,3,4,32.9,13,2,0.2,0,0,202,268,0.8,3,9,0.3,54,25,0.5,3,11,16,0.7,6,34,34
760485,2026-06-27,England,13,1,0,4,7,2,67.1,17,6,0.4,0,0,490,558,0.9,4,25,0.2,36,20,0.6,3,17,18,0.9,5,20,20
760481,2026-06-27,Colombia,12,1,0,3,5,2,54.6,24,6,0.3,0,0,485,544,0.9,3,11,0.3,46,25,0.5,7,8,15,0.5,6,16,16
760481,2026-06-27,Portugal,6,0,0,2,2,6,45.4,13,2,0.2,0,0,405,446,0.9,2,13,0.2,29,20,0.7,4,5,9,0.6,13,22,22
760482,2026-06-27,DR Congo,6,3,0,3,2,1,57.6,19,4,0.2,0,1,400,485,0.8,6,22,0.3,60,28,0.5,1,13,20,0.7,7,25,25
760482,2026-06-27,Uzbekistan,16,2,0,1,4,1,42.4,3,1,0.3,0,0,269,355,0.8,2,16,0.1,59,21,0.4,0,18,29,0.6,12,38,38
760484,2026-06-28,Algeria,3,0,0,1,0,1,65,12,5,0.4,0,0,706,754,0.9,0,5,0.0,44,26,0.6,2,5,11,0.5,4,18,18
760484,2026-06-28,Austria,7,1,0,3,3,2,35,10,3,0.3,0,0,346,396,0.9,3,13,0.2,32,14,0.4,1,4,11,0.4,10,19,19
